Rank	Title	SJR	Publisher	Categories
196	American Sociological Review	6.277	American Sociological Association	Sociology and Political Science 
197	American Journal of Respiratory and Critical Care Medicine	6.272	American Thoracic Society	Critical Care and Intensive Care Medicine 
198	Cell Reports	6.264	Cell Press	"Biochemistry	 Genetics and Molecular Biology "
199	Annual Review of Public Health	6.239	Annual Reviews Inc.	Medicine 
200	Analytic Methods in Accident Research	6.221	Elsevier	Safety Research 
201	Annual Review of Phytopathology	6.195	Annual Reviews Inc.	Medicine 
202	Studies in Mycology	6.18	Westerdijk Fungal Biodiversity Institute	Agricultural and Biological Sciences 
203	JACC: Heart Failure	6.123	Elsevier	Cardiology and Cardiovascular Medicine 
204	JAMA Cardiology	6.108	American Medical Association	Cardiology and Cardiovascular Medicine 
205	Light: Science and Applications	6.104	Nature Publishing Group	"Atomic and Molecular Physics	 and Optics "
206	Personnel Psychology	6.076	Wiley-Blackwell	Applied Psychology 
207	Advanced Functional Materials	6.069	Wiley-VCH Verlag	Biomaterials 
208	Annual Review of Medicine	6.03	Annual Reviews Inc.	"Biochemistry	 Genetics and Molecular Biology "
209	Cold Spring Harbor perspectives in biology	6.011	Cold Spring Harbor Laboratory Press	"Biochemistry	 Genetics and Molecular Biology "
210	Review of Educational Research	5.969	SAGE Publications Inc.	Education 
211	Nature Biomedical Engineering	5.961	Nature Publishing Group	Bioengineering 
212	Progress in Polymer Science	5.952	Elsevier	Ceramics and Composites 
213	Journal of Extracellular Vesicles	5.94	Taylor and Francis Ltd.	Cell Biology 
214	Marketing Science	5.938	INFORMS Institute for Operations Research and the Management Sciences	Business and International Management 
215	Science advances	5.928	American Association for the Advancement of Science	Multidisciplinary 
216	FEMS Microbiology Reviews	5.91	Oxford University Press	Infectious Diseases 
217	Organizational Research Methods	5.901	SAGE Publications Inc.	Decision Sciences 
218	Annual Review of Marine Science	5.879	Annual Reviews Inc.	Oceanography 
219	eLife	5.879	eLife Sciences Publications	"Biochemistry	 Genetics and Molecular Biology "
220	American Political Science Review	5.878	Cambridge University Press	Political Science and International Relations 
221	Annals of Statistics	5.877	Institute of Mathematical Statistics	Statistics and Probability 
222	Educational Psychologist	5.856	Routledge	Developmental and Educational Psychology 
223	Journal of Human Resources	5.855	University of Wisconsin Press	Economics and Econometrics 
224	Angewandte Chemie - International Edition	5.831	John Wiley and Sons Ltd	Catalysis 
225	Nature Ecology and Evolution	5.822	Nature Publishing Group	Ecology 
226	Journal of the National Cancer Institute	5.797	Oxford University Press	Cancer Research 
227	JACC: Cardiovascular Imaging	5.79	Elsevier	Cardiology and Cardiovascular Medicine 
228	Nano Energy	5.764	Elsevier	Electrical and Electronic Engineering 
229	Trends in Genetics	5.713	Elsevier	Genetics 
230	Accounting Review	5.678	American Accounting Association	Accounting 
231	Annual Review of Genomics and Human Genetics	5.677	Annual Reviews Inc.	Genetics 
232	Annual Review of Cancer Biology	5.657	Annual Reviews Inc.	Cancer Research 
233	Clinical Psychology Review	5.632	Elsevier	Clinical Psychology 
234	Annual Review of Nuclear and Particle Science	5.63	Annual Reviews Inc.	Nuclear and High Energy Physics 
